tag,line_reference
Compensation of Officers,Line 7
Salaries and Wages to Non-Shareholders,Line 8
Salaries and Wages to Shareholders,Line 8
Repairs and Maintenance,Line 9
Bad Debts,Line 10
Rents,Line 11
Taxes and Licenses,Line 12
Interest Expense,Line 13
Disallowed Interest Expense (Form 8990),Line 13
Depreciation,Line 14a / Form 4562
Depreciation Claimed Elsewhere on Return,Line 14b
Depletion,Line 15
Advertising,Line 16
Pension Profit-Sharing and Other Plans,Line 17
Employee Benefit Programs,Line 18
Discounts,Line 20 / Other Deductions
Dues and Subscriptions,Line 20 / Other Deductions
Education and Training,Line 20 / Other Deductions
Entertainment - Deductible,Line 20 / Other Deductions
Entertainment - Nondeductible,Line 20 / Other Deductions
Equipment Rental/Lease,Line 20 / Other Deductions
Freight,Line 20 / Other Deductions
Fuel,Line 20 / Other Deductions
Gifts,Line 20 / Other Deductions
Independent Contractor,Line 20 / Other Deductions
Insurance - General,Line 20 / Other Deductions
Insurance - Building and Equipment,Line 20 / Other Deductions
Insurance - Liability,Line 20 / Other Deductions
Insurance - Workers Compensation,Line 20 / Other Deductions
Insurance - Other,Line 20 / Other Deductions
Internet,Line 20 / Other Deductions
Janitorial,Line 20 / Other Deductions
Payroll Processing Expenses,Line 20 / Other Deductions
Permits and Fees,Line 20 / Other Deductions
Postage/Shipping,Line 20 / Other Deductions
Printing,Line 20 / Other Deductions
Recruiting,Line 20 / Other Deductions
Sales,Line 20 / Other Deductions
Security,Line 20 / Other Deductions
Software,Line 20 / Other Deductions
Supplies,Line 20 / Other Deductions
Telephone,Line 20 / Other Deductions
Tools,Line 20 / Other Deductions
Travel,Line 20 / Other Deductions
Uniforms,Line 20 / Other Deductions
Utilities,Line 20 / Other Deductions
Waste Removal,Line 20 / Other Deductions
Other Deductions (Itemize),Line 20 / Other Deductions
Cost of Goods Sold,Line 2 / Form 1125-A
Personal - Not Deductible,N/A
Review with Client,N/A
